"funded_per_faculty_x","Area","Productivity_x","ProductivityWithDeptCollabs_x","ProductivityWithoutDeptCollabs_x","YearGroupSize_x","Title_x","uniform_percentile_x","UpwardMove","WindowedGroupSize_x","WindowedGroupSize4_x","Gender","Productivity_y","ProductivityWithDeptCollabs_y","ProductivityWithoutDeptCollabs_y","YearGroupSize_y","WindowedGroupSize_y","WindowedGroupSize4_y","PersonId"
1.12109375,"Engineering",2.5,1.75,0.75,2.5,"Associate Professor",0.737864077669903,1,7.75,10,"Male",1,1,0,2,10,10,"feef3291db9689fc82e902d5390a2a4c"
0.576470588235294,"Biological Sciences",2.75,1.5,1.25,2.25,"Professor",0.652830188679245,0,4.75,6,"Unknown",0.5,0,0.5,0.5,2,2,"b9f1b7e70e396994f595a6fa61aa6a0c"
0.00675675675675676,"Engineering",4,2,2,5,"Assistant Professor",0.689320388349515,1,9,9,"Female",5,1.5,3.5,2.5,3.5,3.5,"6d8bc6decfdead38a5cd78e4c8cf4908"
0.664835164835165,"Engineering",1,0,1,1,"Professor",0.645631067961165,1,9,9,"Male",1.5,0,1.5,1,5,5,"f486392ca1beb5a886e5ded655accbf6"
0.576642335766423,"Biological Sciences",3.5,2.5,1,5.25,"Professor",0.935849056603774,0,10,11,"Male",0,0,0,0,0,0,"ff2e6bf92099da1b6df9fa32a2667328"
0.697674418604651,"Biological Sciences",4.5,3.5,1,7,"Professor",0.475471698113208,0,14.5,14.5,"Unknown",0,0,0,0,0,0,"90cf1b7a5f004a73eb4ae4cca3f7e85b"
0.392561983471074,"Engineering",11.3333333333333,8.66666666666667,2.66666666666667,10.3333333333333,"Associate Professor",0.713592233009709,1,17,19.3333333333333,"Male",17,13.5,3.5,10.5,19.5,20,"9899bee3222453aba401365048dc03fc"
2.21212121212121,"Computational Sciences",0.5,0.5,0,1,"Associate Professor",0.711711711711712,1,4,4.5,"Male",2,1,1,1.5,2,2,"733f707b6ddd3e55eb9c6f3d8b63e944"
0.458333333333333,"Health",0,0,0,0,"Professor",0.665116279069767,0,7.5,8,"Female",0,0,0,0,0,0,"fad9986699e41f86e79409a5577d84f0"
2.56521739130435,"Physical Sciences",5,5,0,10,"Professor",0.747572815533981,1,20.6666666666667,23.3333333333333,"Male",0,0,0,0,0,0,"aa0c9833f810c7f0a1da71a46b95af30"
0.222222222222222,"Biological Sciences",0.5,0,0.5,0.5,"Professor",0.645283018867924,0,5,9,"Male",1,0.5,0.5,1,2.5,3,"0168a5621250e7983f006c4a06fb2062"
1.20945945945946,"Engineering",3.5,3.25,0.25,4.25,"Associate Professor",0.723300970873786,1,6.25,6.5,"Unknown",6.5,5.5,1,7,14,15.5,"a35587dc5de43f644a13f59525ed3c63"
