"Area","gradstudents_per_faculty","funded_per_faculty","unfunded_per_faculty","tt_headcount","UniquePeople","Productivity","ProductivityWithDeptCollabs","ProductivityWithoutDeptCollabs","ProductivityFirstAuthor","ProductivityLastAuthor","WindowedGroupSize","WindowedGroupSize4","YearGroupSize","YearsSinceDegree","CumulativeGroupSize","uniform_percentile","ft_funded","Umbrella","FundedRatioQuartile","NumFundedQuartile","PrestigeSegment","FundedRatioTopHalf","ProductivityMedian","ProductivityWithDeptCollabsMedian","ProductivityWithoutDeptCollabsMedian","ProductivityFirstAuthorMedian","ProductivityLastAuthorMedian","YearGroupSizeMedian","YearsSinceDegreeMedian","CumulativeGroupSizeMedian","WindowedGroupSizeMedian","WindowedGroupSize4Median","ProductivityVariance","ProductivityWithDeptCollabsVariance","ProductivityWithoutDeptCollabsVariance","YearGroupSizeVariance","ProductivitySD","YearGroupSizeSD","CONTROL","AreaHasCollabNorm","log_funded_per_faculty_p1","log_unfunded_per_faculty_p1","pi_tritile","pi_decile","uniform_percentile100","scale_log_funded_per_faculty_p1","scale_log_unfunded_per_faculty_p1","scale_uniform_percentile100","log_tt_headcount","scale_tt_headcount"
"Physical Sciences",4.4,3.3,1.1,10,13,1.80173992673993,1.2014652014652,0.600274725274725,0.152625152625153,0.867979242979243,7.34145299145299,8.49615384615385,3.66825396825397,27.7692307692308,15.9230769230769,0.791044776119403,33,"Natural Sciences",2,2,8,"True",1.33333333333333,0.714285714285714,0.714285714285714,0,0.666666666666667,2.75,22,11,5.14285714285714,6.28571428571429,2.32924990390268,1.66165229446479,0.208878322221576,8.87349544910557,1.52618803032349,2.97884129303754,1,TRUE,2.10433665981474,1.0703893278914,3,9,79.1044776119403,0.929016580938449,-0.394332556818318,1.11389528862121,3.32192809488736,-0.760452319853902
"Computational Sciences",2.53333333333333,0.8,1.73333333333333,15,12,0.968154761904762,0.68531746031746,0.282837301587302,0.138690476190476,0.187698412698413,3.38382936507936,3.95188492063492,1.72172619047619,23.75,8.33333333333333,0.704081632653061,12,"Formal Sciences",1,1,8,"False",1.19047619047619,0.845238095238095,0.225,0.0357142857142857,0.183333333333333,2.20833333333333,24.5,9.5,3.66666666666667,4.125,0.331016575190682,0.238373359444788,0.0690351108877895,0.979873254225933,0.575340399407761,0.989885475308095,1,TRUE,0.84799690655495,1.45066140900957,3,8,70.4081632653061,-0.30066495925444,-0.0340070871258223,0.778690148932454,3.90689059560852,-0.154680454201032
"Computational Sciences",5.91666666666667,1.25,4.66666666666667,12,28,1.85056966842681,1.38425800390086,0.46631166452595,0.214666583416583,0.304760864135864,6.43740857356929,7.71245599638457,3.27309714095428,22.8214285714286,17.3571428571429,0.377551020408163,15,"Formal Sciences",1,1,4,"False",1.5,1.12878787878788,0.25,0,0.145833333333333,2.875,22,17,5.78409090909091,7.40909090909091,1.41977774902681,1.09015988987994,0.265074774369359,4.26938988399762,1.19154427069531,2.06625019878949,1,TRUE,1.16992500144231,2.50250034052918,2,4,37.7551020408163,0.0144321588024431,0.962659183840533,-0.479943510424294,3.58496250072116,-0.488060769017063
"Physical Sciences",0.169811320754717,0,0.169811320754717,53,27,1.64603380158936,1.14957840513396,0.496455396455396,0.284147025813692,0.392509548065104,6.32914821803711,7.34907119629342,3.24740228906896,22.2962962962963,16.1481481481481,0.348258706467662,0,"Natural Sciences",0,0,4,"False",1,0.818181818181818,0.181818181818182,0.166666666666667,0.333333333333333,3.16666666666667,19,15,6.09090909090909,7,3.37281281391903,1.80014587909245,1.15863780411816,6.06480268823391,1.83652193396078,2.462682011189,1,TRUE,0,0.226275855823676,1,4,34.8258706467662,-1.13066826005398,-1.19416930108367,-0.592852655550047,5.7279204545632,1.73113043745201
"Medical Sciences",0.538461538461538,0.307692307692308,0.230769230769231,13,22,1.01334776334776,0.73538961038961,0.277958152958153,0.0674603174603175,0.453643578643579,11.3943001443001,13.3075396825397,5.25955988455988,20.9545454545455,24.8636363636364,0.0392156862745098,4,"Medicine and Health",0,0,1,"False",0.761904761904762,0.416666666666667,0.196428571428571,0,0.196428571428571,1.95238095238095,17,14,5.48214285714286,7.73214285714286,1.01353164923176,0.81612127374599,0.115138569857958,42.6845986590885,1.00674308998461,6.5333451354638,1,TRUE,0.387023123109247,0.299560281858908,1,1,3.92156862745098,-0.751857362062092,-1.1247289015817,-1.78407924447592,3.70043971814109,-0.368475583042514
"Engineering",2.20689655172414,1.24137931034483,0.96551724137931,29,70,3.09359977324263,2.5758250876108,0.517774685631828,0.295749845392703,0.971077612863327,9.51100030921459,10.9976958359101,4.91589723768295,20.5285714285714,22.1285714285714,0.306748466257669,36,"Engineering",1,2,4,"False",2.2,1.84444444444444,0.316666666666667,0.133928571428571,0.55,3.88888888888889,21,19,7.8,9.1,9.51062807581206,9.06502919741127,0.376229648470356,19.5741097179752,3.08393062110873,4.4242637486903,1,TRUE,1.16438681790088,0.97490901903717,1,3,30.6748466257669,0.0090114897123929,-0.484804586826731,-0.752856598754908,4.85798099512757,0.83024388712154
"Chemical Sciences",1.125,0.75,0.375,8,17,2.92070494864612,2.36069094304388,0.560014005602241,0.275513538748833,1.59098972922502,10.5957282913165,12.091223155929,5.75485527544351,19.8823529411765,23.7058823529412,0.557377049180328,6,"Natural Sciences",1,0,6,"False",2.625,2.16666666666667,0.5,0.125,1.5,5.66666666666667,15,21,10.3333333333333,12.3333333333333,2.3519738763561,1.47058890917478,0.311586426237161,6.99932395064507,1.53361464402114,2.64562354666061,1,TRUE,0.807354922057604,0.459431618637297,2,6,55.7377049180328,-0.340444563428804,-0.973243380094946,0.213207710789078,3,-1.09383263466993
"Chemical Sciences",0.210526315789474,0,0.210526315789474,19,8,0.814087301587302,0.386706349206349,0.427380952380952,0.211805555555556,0.412996031746032,3.86577380952381,4.41517857142857,1.70248015873016,25.75,9.125,0.436018957345972,0,"Natural Sciences",0,0,5,"False",0.873015873015873,0.464285714285714,0.416666666666667,0.196428571428571,0.316666666666667,1.56944444444444,26.5,8.5,3.71428571428571,4.57142857142857,0.125336671705719,0.0929762354677321,0.0831017168772271,1.82177688469568,0.354029196120489,1.34973215294579,1,TRUE,0,0.275634442613427,2,5,43.6018957345972,-1.13066826005398,-1.14739974620055,-0.254575013066132,4.24792751344359,0.198488457855317
"Physical Sciences",0.0333333333333333,0,0.0333333333333333,60,6,0.684457671957672,0.27473544973545,0.409722222222222,0.166666666666667,0.278439153439153,1.67883597883598,1.91421957671958,1.07632275132275,21.8333333333333,3.83333333333333,0.402985074626866,0,"Natural Sciences",0,0,5,"False",0.604166666666667,0.171428571428571,0.229166666666667,0,0.238095238095238,1.11111111111111,18.5,4,1.72222222222222,1.94444444444444,0.389200706517175,0.0957345469051818,0.223900462962963,0.779501238767112,0.623859524666551,0.882893673534425,1,TRUE,0,0.0473057147783568,2,4,40.2985074626866,-1.13066826005398,-1.36375182721461,-0.381906280427756,5.90689059560852,1.9164672344322
"Computational Sciences",3.55555555555556,3.33333333333333,0.222222222222222,18,19,2.46455342902711,1.03806485911749,1.42648856990962,0.597913343965975,0.815656565656566,4.06236044657097,4.56097820308347,2.05502392344498,17.4210526315789,8,0.974489795918367,60,"Formal Sciences",2,2,10,"True",1.75,0.666666666666667,1.1,0.1,0.666666666666667,1.66666666666667,14,6,3,3.25,3.94036122455281,1.29169172676616,1.56633161649277,2.85234263152525,1.9850343131928,1.68888798667207,1,TRUE,2.11547721741994,0.289506617194985,3,10,97.4489795918367,0.93992074758527,-1.13425521608659,1.82099614808726,4.16992500144231,0.117711096635806
