"Productivity","ProductivityWithDeptCollabs","ProductivityWithoutDeptCollabs","WindowedGroupSize","scale_log_funded_per_faculty_p1","scale_uniform_percentile100","Area","scale_log_unfunded_per_faculty_p1","scale_tt_headcount","CONTROL"
1.58587819185645,0.605443409247757,0.980434782608696,2.2326259489303,-0.863925440467259,-2.07192943963653,"Engineering",0.172016511913802,-0.152941440965993,0
0.425757575757576,0.236075036075036,0.18968253968254,1.62272727272727,-1.02079266375545,-2.220608665688,"Health",0.282791757007498,-0.566023926694911,0
1.05396825396825,0.485873015873016,0.568095238095238,1.32896825396825,-1.01420630341372,-2.26455116291411,"Mathematical Sciences",0.515019661834741,-0.944848815968656,0
0.451146384479718,0.150793650793651,0.300352733686067,1.03181216931217,-0.670041540119593,-2.03565571283619,"Psychological Sciences",2.11965762634481,-1.04542026881319,0
0.307407407407407,0.0444444444444444,0.262962962962963,0.509523809523809,-0.825503269855675,-1.86941414776293,"Sociology",0.0946010254675712,-0.979005158444158,0
0.873626373626374,0.0462454212454212,0.827380952380952,0.856684981684982,-0.487243120680698,-1.10413489105709,"Anthropology",1.04849959123874,-0.94747622692831,0
2.98326330532213,1.77593370681606,1.20732959850607,4.69010270774977,1.21427227913588,0.501648831387486,"Computational Sciences",1.50859778421913,-1.04731784339516,0
1.19314285714286,0.898634920634921,0.294507936507936,3.7574126984127,2.26845399960902,-0.395661823970916,"Physical Sciences",1.69212392371822,-1.104700498754,0
0.318877551020408,0.176020408163265,0.142857142857143,2.63010204081633,-0.996562119120319,-0.65589947392026,"Psychological Sciences",-0.565000605438643,-0.517894535024886,0
1.84153846153846,0.989084249084249,0.852454212454212,4.45104395604396,-0.05736987574381,-0.652816515010527,"Earth Sciences",-0.175588931723323,0.258505403552863,0
1.11688311688312,0.39484126984127,0.722041847041847,1.62665945165945,0.346904437679566,-1.53235930288397,"Economics",2.29090050274754,-1.02247686704934,0
2.44897260273973,1.85400086975429,0.594971732985432,6.36898238747554,-0.712379735770211,-0.629559630807978,"Engineering",-0.727003704765698,2.09085460842935,0
1.5096620971621,0.817794011544012,0.691868085618086,4.74873737373737,-0.258268436731173,-0.0990998072024283,"Agriculture",-0.316403243206927,1.61377174765074,0
1.78090538847118,1.15038116123642,0.630524227234754,7.52403926482874,-0.747593872106229,0.408417051608572,"Biological Sciences",-0.927423459491091,1.32519968197554,0
2.99712962962963,2.44978835978836,0.54734126984127,7.87365079365079,-0.0542695371392018,0.592971802195576,"Chemical Sciences",-0.26166200644202,-0.0499526431105134,0
2.90855285376562,2.24197061803445,0.666582235731172,7.92727119216481,-0.667679213236169,0.302695216412716,"Computational Sciences",-0.102119957659425,-0.465206559929697,0
1.56935185185185,0.817731281064614,0.751620570787237,4.22938472021805,-1.02144290927079,0.122855946678293,"Earth Sciences",-0.982801197200774,1.27113878085861,0
0.789583333333333,0.308110119047619,0.481473214285714,1.78459821428571,-0.895659915907655,-0.611214704781542,"Economics",0.00155377100718632,-0.670530690462284,0
2.20372542051647,1.19052949538024,1.01319592513622,4.34993484956172,-0.543309170938225,0.578912371183512,"Engineering",-0.568294369007651,0.528971872041422,0
1.39467592592593,0.623842592592593,0.770833333333333,5.43647486772487,-0.804532123048541,-0.371728094899216,"Health",0.20125847558729,0.0214910399007442,0
1.64499118165785,0.449982363315697,1.19500881834215,2.43452380952381,-0.378682219544728,0.176088370519682,"Mathematical Sciences",0.0654615116619219,-0.822265497973245,0
1.66818293160886,1.21584362139918,0.452339310209681,8.11183127572017,-0.995575640837999,-0.0915946750827341,"Medical Sciences",-0.907930740288698,0.474958654587072,0
1.05560224089636,0.818977591036415,0.236624649859944,3.79327731092437,-0.690388985802082,0.578912371183512,"Physical Sciences",-0.360885516368433,-0.427480687295617,0
0.911858076563959,0.167927170868347,0.743930905695612,1.22983193277311,-0.895122542578928,-1.64033229606814,"Political Science",0.42334661711098,-0.975991363519849,0
1.91402116402116,0.836772486772487,1.07724867724868,3.61488095238095,-0.373127375449796,-0.0202814312735963,"Psychological Sciences",0.420852104586782,-0.739910761115646,0
0.857142857142857,0.203174603174603,0.653968253968254,1.55,-0.821254063509134,-0.90979568239578,"Sociology",-0.265020204139383,-0.801392177571549,0
