anonymous_department_id,Area,Productivity,expected_productivity,productivity_residual,productivity_residual_z,productivity_ratio,funded_per_faculty,unfunded_per_faculty,tt_headcount,uniform_percentile100,CONTROL,AreaHasCollabNorm,productivity_direction
dept_426,Chemical Sciences,3.38427248677249,2.298040388846763,0.28469523201468006,0.873015435285941,1.4626121863513721,1.15686274509804,0.450980392156863,51,68.7203791469194,0,TRUE,near_expected
dept_427,Psychological Sciences,1.50667388167388,1.8945546455865956,-0.14387453585280496,-0.4411900039745761,0.8005297692234783,1.33333333333333,2.86666666666667,15,71.0526315789474,0,TRUE,near_expected
dept_428,Anthropology,0.678111946532999,1.0630424226187913,-0.2065124773524979,-0.6332687029285159,0.6541636973906896,1.78571428571429,0.714285714285714,14,76.8115942028985,0,FALSE,near_expected
dept_429,Biological Sciences,1.96092549923195,1.3519529020355412,0.2302558829336212,0.7060776481710754,1.4343745045302316,0.981818181818182,0.490909090909091,55,25,0,TRUE,near_expected
dept_430,Engineering,3.22829494478951,1.8025696282932833,0.41126210473882163,1.2611316418768168,1.7695933770703693,0.173913043478261,0.565217391304348,23,28.125,0,TRUE,near_expected
dept_431,Political Science,0.85625,1.293555060158039,-0.21154471824319698,-0.6487000255417125,0.6745164577724116,15.3333333333333,0.533333333333333,15,96.9135802469136,1,FALSE,near_expected
dept_432,Anthropology,0.698065476190476,1.099929699158873,-0.21241421966052654,-0.6513663440218638,0.6505314861748989,3.12765957446809,0.468085106382979,47,99.2753623188406,1,FALSE,near_expected
dept_433,Health,0.909206349206349,1.2692712217344257,-0.17277110052358624,-0.5298010664283008,0.7270728970691069,0.607142857142857,0,28,64.1304347826087,0,TRUE,near_expected
dept_434,Biological Sciences,0.0416666666666667,1.400039852727907,-0.8346633479990728,-2.559487845701114,0.06321665331764334,0.673469387755102,0.346938775510204,49,43.8356164383562,0,TRUE,anonymous_underperformer
dept_435,Physical Sciences,1.14736507936508,1.3965890697090422,-0.10980495944248048,-0.33671594633270663,0.8277161112560532,1.46666666666667,2.13333333333333,15,56.2189054726368,0,TRUE,near_expected
dept_436,Mathematical Sciences,1.52485380116959,1.1613428105344177,0.1554534604420469,0.4766966748059952,1.300089279000054,1.36363636363636,6.63636363636364,11,43.21608040201,0,FALSE,near_expected
dept_437,Geography,2.01421957671958,0.9973039077697512,0.4115427248000799,1.261992160836673,1.9709843164009242,1.14285714285714,3.57142857142857,7,34.5238095238095,0,FALSE,near_expected
dept_438,Political Science,0.68047619047619,0.8906712113748398,-0.11785470435468426,-0.3614004185970893,0.7765478326997604,0.105263157894737,0.5,38,55.5555555555556,0,FALSE,near_expected
dept_439,Psychological Sciences,1.9955069124424,1.832646695619005,0.055901967412345765,0.17142289341646888,1.0865059903179801,0.958333333333333,0.625,24,52.6315789473684,0,TRUE,near_expected
dept_440,Chemical Sciences,2.45127865961199,2.2090905537552312,0.07275720793987439,0.22310934085662443,1.107206019455119,1.80952380952381,2.76190476190476,21,61.1374407582938,0,TRUE,near_expected
dept_441,Geography,1.63040027605245,1.2404313386569883,0.16046762159693884,0.4920725560677022,1.3022004547729913,1.45454545454545,4.27272727272727,11,89.2857142857143,0,FALSE,near_expected
dept_442,Biological Sciences,1.99011228792782,1.5121506478022604,0.17417172312174278,0.5340960633572889,1.3059638587341038,3.7,3.6,10,52.7777777777778,0,TRUE,near_expected
dept_443,Engineering,3.85906525573192,2.750711657580749,0.25890048787014575,0.793916078306654,1.395739988138788,59.5,83.5,2,82.9411764705882,0,TRUE,near_expected
dept_444,Geography,0.917460317460317,1.0605808018361107,-0.07198632659283999,-0.22074543995820697,0.8711300572284572,0.423076923076923,0.423076923076923,26,44.0476190476191,0,FALSE,near_expected
dept_445,Mathematical Sciences,3.59199346405229,1.2549261792091326,0.7111969997565248,2.1808793702750973,2.7909574672335618,0.447368421052632,0.815789473684211,38,60.377358490566,0,FALSE,anonymous_overperformer
dept_446,Health,0.9505291005291,1.2605242415634095,-0.14749608230193256,-0.45229544443917213,0.7634571485190565,0.148148148148148,0.333333333333333,27,80.4347826086957,0,TRUE,near_expected
dept_447,Physical Sciences,1.1141240446796,1.5358363917134996,-0.1818829567483965,-0.5577424937296034,0.7340757538183125,4.6,3.3,10,58.7064676616915,0,TRUE,near_expected
dept_448,Chemical Sciences,1.11944444444444,1.5864762836592439,-0.19914244130585468,-0.6106685519467054,0.7146112999752755,0.279069767441861,0.418604651162791,43,2.45901639344262,1,TRUE,near_expected
dept_449,Biological Sciences,0.855877976190476,1.0735495591904356,-0.11090401502821634,-0.3400861906595774,0.8062643688305116,0.714285714285714,2,7,34.0425531914894,1,TRUE,near_expected
dept_450,Biological Sciences,0.790740740740741,1.5578614189095945,-0.3565421702310294,-1.0933334420085634,0.5228937835394466,3.27272727272727,4.27272727272727,11,67.5531914893617,0,TRUE,near_expected
dept_451,Computational Sciences,2.30181552986983,2.5709565900860114,-0.07836103454754961,-0.240293426064327,0.8973118970248382,5.4,5.8,10,52.5510204081633,0,TRUE,near_expected
dept_452,Psychological Sciences,0.770021645021645,1.3056127747241995,-0.26435471164843793,-0.8106414077484465,0.6049084667179233,0.333333333333333,2.11111111111111,27,5.26315789473684,1,TRUE,near_expected
dept_453,Political Science,0.99000892270123,0.8798348016359359,0.056955220985124067,0.1746526862717918,1.1184878441540964,0.409090909090909,4.13636363636364,22,60.4938271604938,0,FALSE,near_expected
dept_454,Mathematical Sciences,1.59615672587371,1.3109923409335766,0.11635515197352508,0.35680205435506146,1.209526810962451,1.08,2.36,25,68.8442211055276,0,FALSE,near_expected
dept_455,Chemical Sciences,3.82435832489024,2.623006497855505,0.2863735308742732,0.8781619240384189,1.4494384237369247,7.08695652173913,4.30434782608696,23,84.3601895734597,0,TRUE,near_expected
dept_456,Geography,1.15,1.1188199585644951,0.014608531746554299,0.04479693464254711,1.026676513527198,0.857142857142857,1.64285714285714,14,60.7142857142857,0,FALSE,near_expected
dept_457,Biological Sciences,2.20794327200577,1.4612559969439096,0.26495821904571937,0.8124920578959993,1.4940839120386125,1.44736842105263,0.894736842105263,38,47.2222222222222,0,TRUE,near_expected
dept_458,Physical Sciences,1.33577612863327,1.417397660346122,-0.0343473895756673,-0.10532596927998783,0.9443766785796841,0.304347826086956,0.115942028985507,69,62.6373626373626,0,TRUE,near_expected
dept_459,Health,2.04955357142857,1.2590434000898685,0.30005376050093835,0.9201122283614602,1.6038838523493044,1,0.851063829787234,47,53.3333333333333,0,TRUE,near_expected
dept_460,Economics,1.23469135802469,0.8650397979057254,0.18082073145828592,0.5544851891816642,1.4039732052802463,0.441860465116279,0.697674418604651,43,42.8571428571429,0,FALSE,near_expected
dept_461,Anthropology,1.11933124346917,0.914619411299149,0.10158172567986079,0.31149947202813627,1.2122203117334278,0.705882352941177,4.64705882352941,17,68.1159420289855,0,FALSE,near_expected
dept_462,Mathematical Sciences,1.57700892857143,1.2057879582593563,0.15554460063078956,0.47697615539646443,1.2956080028244752,1.44444444444444,5.77777777777778,9,53.7735849056604,0,FALSE,near_expected
dept_463,Psychological Sciences,3.50078849721707,1.892340718617438,0.4421864914905129,1.3559610029796627,1.8280976469177501,0.361111111111111,0.444444444444444,36,75,0,TRUE,near_expected
dept_464,Sociology,1.62893894300144,0.9662833395020729,0.29043518993053086,0.8906169659577687,1.6520382434135295,0.25,1.5625,16,68.2119205298013,0,FALSE,near_expected
